wilderness	n. 荒野, 荒地
accompany	vt. 陪伴, 伴随，给...伴奏 vi. 伴奏
considerable	adj. 相当大的,可观的,重要的
prediction	n. 预言, 预报
consideration	n. 考虑, 体贴, 考虑因素, 敬重, 意见
accumulate	vt. 积聚,累加,堆积 vi. 累积
electron	n. 电子
element	n. 成分,要素,元素,基本原理,(复数)恶劣天气
gesture	n. 手势,姿态 vt.& vi. 作手势表达
contempt	n. 轻视,轻蔑
automation	n. 自动化
announce	vi.宣布参加竞选； 当播音员 vt.宣布； 述说； 声称； 预告
continual	adj. 不断的, 频繁的
sympathize	v. 同情, 同感
fan	n. 风扇,扇形物,狂热者 vt. 风选,煽,吹,煽动,向扇子一样展开 vi. 像扇子一样行动,鱼贯而出
contribute	vt. 捐助,投稿 vi. 投稿,贡献,是原因之一
cite	vt. 引用,引证,传讯,嘉奖
violent	adj. 暴力的,猛烈的,极端的,曲解的
obscure	adj. 微暗的,难解的,不著名的,[语音学]轻音的  vt. 使...阴暗,隐藏,使...含糊,成为含糊的元音   n. 暗淡,模糊
client	n.顾客； 当事人； 诉讼委托人； [计算机]客户端
convince	vt. 说服, 使...相信
conceal	vt. 隐藏, 掩盖
maintenance	n. 维护, 保持, 维修, 生活费用 n. 供给, 抚养; 主张
incident	n. 事件,（常指）军事冲突, 插曲，事变 adj. 难免的，附带的，(物理)入射的
recycle	vt. 使再循环,再利用,再制 vi. 循环 n. 再循环
elaborate	adj. 精细的, 详尽的, 精心的 v. 详细地说明, 用心地作, 推敲
compile	v. 编译,编辑,编纂 [计算机] 编译
comedy	n. 喜剧,滑稽, 幽默事件
theorist	n. 理论家
illuminate	vt. 照明,阐释,说明
compatible	adj. 能共处的,可并立的,适合的, 兼容的 n. 兼容
bundle	n. 捆,束,一批,一大笔钱 vt. 捆,匆匆送走,附赠 vi. 匆忙
aspire	vi. 渴望；立志；追求
alleged	adj. 被说成的，声称的，有嫌疑的
comply	vi. 顺从,答应
information	n. 信息, 情报, 新闻, 资料, 询问
recur	v. 回到, 重现, 再来
inherit	vi. 继承 vt. 继承,遗传
reader	n. 读者，读物, 读本
ironic	adj. 说反话的, 讽刺的
significance	n. 意义,重要性
inquiry	n. 打听, 询问, 调查, 查问 =enquiry(英)
silent	adj. 安静的,不吵闹的,沉默的,无言的 n. (复数)默剧
crude	adj. 粗鲁的,简陋的,天然的,未加工的 n. 原油
inclusive	adj. 包含...在内的, 包罗广泛的, 包括端点的 [计算机] 包括的
reside	v. 住,居留,属于
situate	vt. 位于, 坐落在 adj. 位于...的，坐落在...的
evidence	n. 根据, 证据 vt. vi. 证实, 证明
state	n. 州, 国, 情形 adj. 国家的, 州的, 正式的 vt. 说, 陈述, 声明, 规定
weighty	adj. 重要的, 沉重的，有力的
instinct	n. 本能, 天性, 直觉
cynic	n. 愤世嫉俗者，犬儒主义者，好挖苦的人
maximum	n. 极点, 最大量, 极大 adj. 最高的, 最大极限的
reprimand	v.&amp;n. 训诫,谴责 vt. 责难 n.申诉
intensity	n. 激烈,强度,强烈,剧烈
customer	n. 顾客，家伙
tense	adj. 紧张的, 拉紧的 vt. 使紧张, 拉紧 vi. 变得紧张 n. (动词的)时态
reputable	adj. 受好评的, 有声望的, 规范的
scandal	n. 丑闻,中伤,反感,耻辱
architecture	n. 建筑学, 建筑业, 建筑物, 结构  [总称]建筑物, 建筑风格
variable	adj. 可变的,易变的 n. 变量, 易变的东西
respondent	n.回答者； [法]（特指离婚诉讼的）被告； [生]反应，反射 adj.应答的； 有反应的； [法]被告的
expansion	n. 扩大,膨胀,扩充
urban	adj. 城市的
interface	n. 界面,接触面 vt. 连接,作接口 vi. 连接
experiment	n. 实验,试验,尝试 vi. 做实验,尝试
voyage	n. 航行,旅程 vt.& vi. 航行,旅行
theory	n. 理论,原则,看法,推测
involve	vt. 包含, 使陷入, 使忙于, 使卷入, 牵涉
odor	n. 气味,名声,气息
iron	adj. 刚强的 n. 铁, 熨斗, 坚强, (复数)铁制物 vt. 熨烫(平), 用铁装备 vi. 熨烫(平)
candidate	n. 候选人, 求职者
reluctant	adj. 不情愿的,勉强的
guarantee	n. 保证(书), 担保(书) n. 担保人; 抵押品 vt. 保证, 担保
extensive	adj. 广泛的,广阔的
broadcaster	n. 播音员
guide	vt.引路； 指导； 操纵； 影响 n.指导者； 向导； 导游； 有指导意义的事物
accessible	adj. 可得到的, 易接近的, 可进入的
strategic	adj. 战略的,重要的,基本的
scenic	adj. 风景好的, 戏剧性的
designate	adj. 指定的 vt. 指定,选派,标明
allusion	n. 提及,暗示
assignment	n. 分配,功课,任务,被指定的(课外)作业;(分派的)任务, 委派
thorough	adj. 彻底的, 完全的, 精心的
radius	n. 半径,桡骨,半径范围,辐射区
associate	vt.（使）发生联系； （使）联合； 结交； 联想 vi.联盟； 陪伴同事 n.合伙人； 伴侣，同志； 非正式会员 adj.联合的； 合伙的； 非正式的； （性质上）有密切联系的
threat	n. 威胁, 凶兆
definitely	adj. 明确地, 确切地 adv. 肯定地
disclose	vt. 揭露
mathematician	n. 数学家
resist	v. 抵抗, 耐得住, 压制 n. 保护膜
mixture	n. 混合, 混合物
behaviour	n. 行为(工作情况, 运转状态, 特点)
disregard	n. 不理会, 漠视 vt. 忽视, 不顾
cave	n. 山洞 v. (使)凹陷 vi. (in)塌落,倒坍
permission	n. 同意,许可,允许
hatch	n. 孵化,舱口 vt. 孵,孵出 vi. 孵化，破壳
fate	n. 命运,天意 vt. 注定
moral	adj. 道德(上)的,有道德的 n. 品行,寓意,道德
efficiency	n. 效率；效能；功效
retain	vt. 保持, 保留; 记住
anecdote	n. 轶事,奇闻
drastic	adj. 激烈的,猛烈的,极其严重的
anthropology	n. 人类学
prerequisite	n. 先决条件 adj. 作为前提的, 必备的
diagram	n. 图解,图表 vt. 用图解法表示
mould	n. 模子(样板,形状,霉菌,土,类型) vt. 模压(铸造,发霉,形成,轮廓相符合) vi. 发霉
consume	vt.  消耗，毁灭，吃，喝, 挥霍 vi. 耗尽生命, 被烧毁
specialist	n. 专家
surround	n. 环绕物 vt. 包围,环绕
attribute	n. 属性, 特征; 标志, 象征 vt. 归于, 属于
fertile	adj. 肥沃的,能繁殖的 n. 多产,肥沃
differ	vi. 不一致,不同(意见)
invasion	n. 侵入, 侵略
rigid	adj. 僵硬的,刻板的,严格的
sparse	adj. 稀少的, 稀疏的
approximate	adj. 大约的,近似的 vt. &vi. 接近,约等于
dwindle	v. 减少, 缩小
endurance	n. 忍耐, 忍耐力, 耐性
traditional	adj. 传统的
narrow	adj. 狭窄的，有限的；勉强的；精密的；度量小的 n. 海峡；狭窄部分，隘路 vt. 使变狭窄 vi. 变窄
fine	n. 罚款,罚金,结尾 vt. 罚款 vi. 净化，细化 adj. 美好的, 优质的, 精致的，晴朗的, 健康的，纤细的，恭维的，辞藻华丽的 adv. 恰好地，合适地
capitalism	n. 资本主义
circuit	n. 电路,一圈,巡回 vt. &vi. 巡回
surplus	adj. 多余的,过剩的 n. 过剩,剩余物,盈余,顺差
basin	n. 脸盆, 盆地, 流域, 水池
staff	n.参谋； 全体职员； 管理人员； 权杖 adj.行政工作的； 参谋的； 职员的； 作为正式工作人员的 v.在…工作； 为…配备职员； 任职于
franchise	n. 特权,公民权,特许经销权 vt. 赋予特权, 赋予公民权
furnishing	n. 供给(装备)
dealing	n. 经营方法，行为态度 (复数）dealings:商务往来，交往 动词deal的现在分词
historical	adj. 与历史有关的
averse	adj. 厌恶的, 反对的
moody	adj. 易怒的，喜怒无常的,情绪化的 Moody n. 穆迪(人名)
verification	n. 确认, 查证, 作证
awe	n. 敬畏 vt. 使崇敬
survivor	n. 幸存者
flat	adj. 平坦的, 单调的, 扁平的 adv. 平直地, 干脆地 n. [英]公寓 vt. 变平 vi. 降调
ascend	v. 上升, 攀登
tribe	n. 部落,种族,一伙人
banal	adj. 陈腐的, 平庸的
legitimacy	n. 合法, 适法, 正当
existing	adj. 现存的,现有的 [计算机] 现有的
position	n. 位置, 职位; 状态, 立场 vt. 安置, 决定...的位置
drawback	n. 不利点,退税
horizon	n. 地平线；视野；眼界
behavioural	adj. 行为的
attraction	n. 吸引, 吸引力, 有吸引力的人或事物
clue	n. 线索 vt. 提示
threshold	n. 极限,门槛,入口,开端
secretarial	adj. 秘书的
nurture	n. 养育, 照顾, 教育, 滋养, 营养品 vt. 养育, 给与营养物, 教养, 扶持
analyst	n. 分析家
noble	adj. 高尚的, 宏伟的, 贵族的, 高贵的 n. 贵族
mystical	adj. 神秘的 adj. 神秘主义的 adj. 有心灵象征意义的
imply	vt. 暗示,意味
commit	v. 委托(托付), 犯罪, 作...事, 承诺 [计算机] 委托
advertise	vi. 登广告 vt. 为...做广告, 宣传
predict	v. 预知, 预言, 预报
atlas	n. 地图集 Atlas: 擎天神，背负重物的人
transplant	vt. 移居, 移栽(植物), 移植(器官) vi. 能经得住移植 n. 移植, 被移植的事物
fictitious	adj. 假想的,编造的,虚伪的
presently	adv. adv. 不久, 一会儿, 现在, 目前
trigger	vt. 引发，引起；触发 vi. 松开扳柄 n. 扳机；[电子] 触发器；制滑机
tropic	n. 回归线,热带 adj. 热带的,向性的
uncertain	adj. 不确定的
prevent	v. 预防, 防止
endeavor	n. 努力, 尽力, 进取心 vt. 努力,尽力 vi. 企图, 谋求
dredger	n. 挖泥船
number	n. 号码,数字 v. 编号,加号码,总计 vi. 总计 vt. 编号
insulting	adj. 侮辱的 动词insult的现在分词形式
zeal	n. 热情, 热忱
localise	vt. 定位(局限)
private	adj. 私人的，隐蔽的 n. 士兵，列兵
pathetic	adj. 可怜的，悲哀的；感伤的；乏味的
mandatory	adj. 命令的, 强制性的, 受委托的 n. 受托管理者
traumatic	n. 外伤药 adj. 外伤的, 创伤的
seal	n. 印章, 封条, 海豹 v. 盖印, 封闭, 猎海豹
procession	n.队伍，行列； 一列，一排； 列队行进
sophisticate	n. 久经世故的人 vt. 玩弄诡辩,掺合,弄复杂
generational	adj. 世代的
occasional	adj. 偶然的, 不时的
congruent	adj.合适的，一致的，全等的
secretary	n. 秘书,部长,大臣,书记
successive	adj. 接连的, 连续的, 接二连三的
complicated	adj. 复杂的, 难懂的
productivity	n. 生产率, 生产能力
comprehension	n. 理解(力),领悟
persevere	v. 坚持, 孜孜不倦, 不屈不挠
suggest	vt. 建议,暗示,要求
prospect	n. 景色, 希望, 展望 v. 探勘, 寻找
arousal	n. 激励, 鼓励, 唤醒, 激发
contaminant	n. 杂质(污染物质,沾染物)
urge	n. 冲动 vt. 驱策,鼓励,力陈,催促 vi. 极力主张
tuition	n. 教诲,教学,学费
superior	n. 上级,高手,上标 adj. 上层的,上好的,出众的,高傲的
awkward	adj. 笨拙的 adj. 尴尬的
senior	n. 年长者,上司,毕业班学生 adj. 年长的,高级的,资深的
vague	adj. 模糊的,不明确的,说话含糊不清的,茫然的
separate	n. 分开, 抽印本 adj. 分开的, 各自的, 单独的 v. 分开, 隔开, 分居
pose	n. 姿势,姿态,装模作样 vt. 提出(问题),引起,定格 vi. 摆姿势,装模作样
pulse	n. 脉冲,脉波,脉搏 vt. &vi. 跳动,脉跳
survive	vt. 比…活得长,幸免于难,艰难度过 vi. 活着, 继续存在
accommodate	vi. 使自己适应 vt. 使一致，和解；提供方便；容纳；顾及
conservative	adj. 保守的,守旧的 n. 保守派(党),保守的人
haughty	adj. 傲慢的
cautious	adj. 十分小心的, 谨慎的
construction	n. 建设，建造，结构，构造
prevention	n. 阻止, 妨碍, 预防
contain	vt. 包含,容纳,克制,抑制 vi. 自制
container	n. 容器, 集装箱
emerge	vi. 浮现, (由某种状态)脱出, (事实)显现出来
adapt	vt. 使适应,改编 vi. 适应，适合
emotion	n. 情感,情绪,感动
hemisphere	n. 半球
severe	adj. 剧烈的, 严重的, 严峻的, 严厉的, 严格的
qualify	vt. 取得资格,有资格,限定,描述 vi. 取得资格, 有资格
consciousness	n. 意识,知觉,自觉,觉悟
simplistic	adj. 过分简单化的
propaganda	n. 宣传, 宣传的内容
adopt	v. 采用, 收养, 接受
virtually	adv. 几乎,实际上
operate	vi. 操作, 运转 vt. 起作用, 动手术
condone	vt. 宽恕；赦免
stabilise	v. (使) 稳定 =stabilize(美)
opinion	n. 看法,意见 v. 判断,意见,主张
momentum	n. 动力,要素, 势头,（物理）动量
disconnection	n. 断开
consequential	adj. 作为结果的(引出重要结果的, 自高自大的)
taint	n. 污点, 耻辱, 感染 v. 污染, 中毒
qualification	n. 资格, 条件, 限制
qualm	n. 疑惧, 紧张不安
aboriginal	adj. 原始的, 土著的
ordinary	adj. 普通的
council	n. 理事会,委员会, 商议
orderly	adj. 有秩序的, 整齐的, 一丝不苟的, 和平的 adv. 有秩序地，有条理地，依次地 n. 勤务兵, （医院的）勤务工
guideline	n. 指引，指导方针
industrialize	v. (使)工业化 =industrialise(英)
entrepreneur	n. 企业家
competitor	n. 竞争者,对手
plausible	adj. 似真实的,似合理的,说得蛮像回事的
implement	n. 工具, 器具; 当工具的物品 vt. 实施, 执行; 向...提供工具(或手段)
recipient	n. 接受者, 收信人
reclaim	v. 开垦, 纠正, 收回
enzyme	n. 酶
credit	n. 信用, 荣誉, 贷款, 学分 v. 归功于, 赞颂, 信任
photoperiodism	n. 光周期现象(光周期性)
estimate	n. 估计, 估价 v. 估计, 估价, 评价
doubtful	adj. 可疑的, 疑心的, 不确定的
confront	vt. 面临, 对抗, 遭遇
representation	n. 表示法,表现,陈述，答辩
resent	v. 愤恨,憎恶,怨恨
narrative	n. 叙述,故事 adj. 叙述的,叙事的,故事体的
cursory	adj. 匆匆忙忙的, 草率的, 粗略的
contend	vi. 奋斗,斗争,辩论 vt. 坚持认为,竞争
simplify	v. 简化, 使单纯 vt. 简化
weigh	vt. 权衡；考虑；称…重量 vi. 重量为…；具有重要性；成为…的重荷；起锚 n. 权衡；称重量
corrupt	adj. 腐败的,堕落的 vt. 使...恶化,贿赂,使...腐烂 vi. 腐烂,堕落
insufficient	adj. 不足的
trait	n. 特征,特点,特性,品质
appeal	n. 恳求, 上诉, 吸引力 n. 诉诸裁决 v. 求助, 诉请, 呼吁; 有吸引力
technological	adj. 科技的，工艺的
inept	adj. 不适当的, 无能的, 笨拙的
reserve	n. 预备品, 贮存, 候补 n. 克制, 含蓄 vt. 保留, 预订, 延期
reform	n. 改革,改正,感化 vt. 改革,改正,使悔改 vi. 改良,悔改
immigration	n. 移居, 移民
measurable	adj. 可测量的
currency	n. 货币; 流通
register	v. 记录, 登记, 注册, 挂号 n. 暂存器, 记录, 登记簿 n. (语)语域; 通风调节设备
existence	n. 存在, 生存
regulate	v. 有系统的管理,规定,调节
artistic	adj. 艺术的
reinforce	vt. 加强，加固；强化；补充 vi. 求援；得到增援；给予更多的支持 n. 加强；加固物；加固材料
extend	v. 扩充, 延伸, 伸展, 扩展
provided	conj. 假如,若是 adj. 预备好的,由...供给的
item	n. 项目,条款， 一件商品（或物品） adv. 也
allocation	n. 配置, 分配, 安置
interior	adj. 内部的,内地的,国内的,在内的 n. 内部
assembly	n. 集合, 集会, 装配
adaptable	adj. 能适应的，适应性强的，可改编的
scrutiny	n. 详细审查；监视；细看；选票复查
devour	vt. 吞食,耗尽,吞没,贪婪的享用
latent	adj. 潜伏的,潜在的 n. 隐约的指印, 指纹
represent	vt. 表现, 表示, 描绘, 代表 vi. 提出异议
conflict	n.冲突； 战斗； 相互干扰； 矛盾 vi.抵触； 争斗； 战斗； 冲突
judgement	n. 判断
aesthetic	adj. 美学的,审美的,有美感的 n. (复数)审美观
dismal	adj. 阴沉的, 凄凉的, 暗的
solid	adj. 固体的,结实的,可靠的,实心的 n. 固体,实心
pragmatic	adj. 实际的, 实用主义的
just	adj. 公正的,公平的,恰当的 adv. 正好,恰好
familiar	adj. 熟悉的,熟知的,不拘礼节的 n. 熟人,熟悉某种事物的人
subtlety	n. 微妙, 明敏
perfume	n. 香水,香气 v. 洒香水于,薰香
literal	adj. 逐字的, 字面上的, 文字的 [计算机] 文字的
period	n. 学时, 课时; 一段时间, 时期, 周期; 句号
harvest	n. 收获(期),成果,收获物 vt.& vi. 收割,收获
legitimate	adj. 合法的, 正当的, 合理的, 世袭的 vt. 使合法, 授权, 宣布...为合法
judicious	adj. 头脑精明的,贤明的,判断正确的
abuse	n.滥用； 恶习； 侮辱； 恶言 vt.滥用； 虐待； 辱骂
chain	n. 链,连锁,束缚 vt. 用铁练锁住,束缚,囚禁
duty	n.税，义务, 职责 adj. 值班的, 作为一种义务的
feature	n. 特征, 容貌 vt. 以...为特色 vi. 起重要作用
revolution	n. 革命, 旋转, 转数
alliance	n. 结盟,联盟,联姻 Alliance [地理名词]
allocate	v. 分派, 分配, 分配额
distribution	n. 分发, 分配, 散布, 分布
lure	n. 饵,诱惑 vt. 引诱,诱惑
antiquity	n. 高龄, 古老, 古物, 古迹
attitude	n. 态度, 看法, 姿势
multiple	adj. 许多,多种多样的 n. 倍数,并联
mechanism	n. 机制,原理，机械,机构,结构
chronological	adj. 按时间顺序的
endanger	vt. 危及，危害
data	n. (datum的复数)资料,数据
physiology	n. 生理学
direction	n. 方向,指导,用法说明,趋势
mystery	n. 神秘,秘密,神秘的人或事物
neighbourhood	n. 邻近，邻里关系
tragedy	n. 悲剧, 惨事, 灾难
uniformity	n. 同样,一致(性)
firefly	n. 萤火虫
equilibrium	n. 平衡,均衡
superiority	n. 优越性, 优势
barrier	n. 界线,屏障,障碍物 v. 以屏障隔开
hesitate	vi. 犹豫, 停顿，口吃，迟疑，踌躇 vt. 用犹疑的态度表示
scapegoat	n. 替罪的羔羊, 替人顶罪者 v. 使…成为替罪羊
aggression	n. 进攻, 侵犯, 侵害, 侵略
scenario	n. 情节梗概, 剧本
deficiency	n. 缺乏,不足,缺点
rough	adj.粗糙的，崎岖不平的； 粗鲁的； 狂暴的，汹涌的； 未经加工的 vt.粗暴地对待； 使粗糙； 草拟 n.粗糙的部分； 艰难，苦难； （高尔夫球场的）深草区 adv.粗暴地 vi.举止粗野
necessity	n. 需要, 必需品, 必然
various	adj. 各种各样的
commemorate	v. 纪念,庆祝 vt.&amp;n. 纪念
experimentation	n. 实验, 试验
supervisor	n. 监督人, 管理人, 检查员, 督学, 主管人,导师
trend	n. 趋势,倾向,方位 vi. 倾向,转向
architect	n. 建筑师
pollute	v. 弄脏,污染 vt. 污染
layer	n.层，层次； 膜； [植]压条； 放置者，计划者 vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次 vi.形成或分成层次； [植]通过压条法而生根
wage	n. 薪水,报偿,代价 vt. &vi. 开始,进行（战争、运动）
fantastic	adj. 极好的,难以相信的,奇异的,幻想的
artifact	n. 人工制品(制造物,石器)
theme	n. 题目, 主题
raw	adj. 生的,未加工的,原始的,不熟练的,寒冷的 n. 触到某人的痛处
coherence	n. 粘附(附着, 结合, 凝聚, 相参性, 同调, 连贯性)
campaigner	n. 从军者, 出征者，社会运动人士
tangible	adj. 有形的, 可触摸的, 确凿的, 实际的
absurd	adj. 荒唐的 n. 荒唐
exploitation	n. 开发,开采,自私的利用
inappropriate	adj. 不适当的,不相称的
orientation	n. 信仰,趋向,定位,适应,情况介绍 [计算机] 定向
attribution	n. 归因，归属，属性，特质
entitlement	n. 权利
originality	n. 独创性，创造力，新颖
shun	v. 避开, 规避, 避免
formula	n.   公式,配方,规则；代乳品 adj. （赛车的）级的，方程式的
illustration	n. 插图,例证,说明,图解
contrive	vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
investigator	n. 调查者, 研究者, 审查者
scheme	n. 方案, 计划, 阴谋 v. 计画, 设计, 体系, 结构, 图谋
impact	n. 冲击(力), 冲突, 影响(力) vt. 挤入, 压紧; 撞击; 对...发生影响
factual	adj. 事实的, 真实的
speculate	vt. 推测,好奇 vi. 深思,投机
proceed	vi. 继续进行; 开始, 着手
weave	n. 编法, 织法, 编织 v. 编织, 组合, 编排
urgency	n. 紧急(的事)
speciality	n. 专长, 擅长
literary	adj. 文学的
complaint	n. 抱怨
journalism	n. 新闻工作, 新闻业, 新闻写作
complex	adj. 复杂的 n. 复合体
peripheral	adj. 不重要的,外围的 n. 外围设备
infirmity	n. 虚弱, 病身, 疾病，弱点
artificial	adj. 人造的,虚伪的,武断的
synthetic	adj. 综合的,合成的,人造的 n. 人工制品
property	n. 财产; 性质; 道具
pest	n. 害虫
function	n. 功能, 函数, 重大聚会 vi. 运行, 起作用
friction	n. 摩擦,摩擦力,分歧
attempt	vt.试图； 尝试 n.进攻； 尝试，冲击
urgent	adj. 急迫的,紧要的,紧急的
literate	n. 学者 adj. 精通文学的, 受过教育的
psychological	adj. 心理(学)的
public	adj. 公开的,众所周知的,公众的 n. 公共场合,公众,同好者
confusion	n. 混乱,混淆,不确定状态
vacuum	n. 真空,空间,真空吸尘器 adj. 真空的,产生(利用)真空的 vt. &vi. 用吸尘器打扫
fit	adj. 适宜的,对的,准备好的 v. 适合,安装 n. 适宜,发作,一阵
annual	adj. 每年的,年度的,一年生的 n. 年刊,年鉴,一年生植物
elect	n. 当选人, 被选的人, 上帝的选民 adj. 被选的, 选出的 v. 选举, 选择
vehicle	n. 传播媒介, 工具, 手段, 交通工具, 车辆;
secure	adj.安全的； 牢固的； 有把握的； 安心的 vt.保护； （使）获得； 使安全； 担保 vi.获得安全，变得安全； 安全，保险； 承保，担保； [航海学]停止工作
bilingual	adj. 双语的,用两种语言表达或书写的
anthropologist	n. 人类学家
empathy	n. n. 移情作用,共鸣, 执着投入，同理心
herb	n. 药草, 香草
progression	n. 前进
conversely	adv. 相反地
violence	n. 暴力,狂热
magnetic	adj. 有磁性的,有吸引力的,催眠术的
monotonous	adj. 单调的
prospective	adj. 未来的, 预期的
confiscate	v. 没收, 充公, 查抄
congenial	adj. 同性质的, 适意的, 趣味相同的，友善的
psychology	n. 心理学
supersede	vt. 取代,接替,使放在一边
dilute	vt. 冲淡,稀释 adj. 冲淡的,稀释的,微弱的
constrain	vt.强迫； 强使； 限制； 约束
generalisation	n. 归纳，推论 =generalization(美)
enquiry	n. [计] 询问，[贸易] 询盘
organic	adj. 器官的,有机的,根本的,接近自然的 n. 有机物质
organism	n. 生物体, 有机体
pub	n. 酒吧, 酒馆
consonant	n. 辅音 adj. 一致的,调和的,辅音的
motivation	n. 动机
entitle	v. 取名为,给与名称,叫做,使有权利
entrance	n. 入口 v. 使出神,使入迷 vt. 使出神
ideology	n. 观念学, 空论, 意识形态
minute	adj. 微小的,不重要的,详细的 n. 分钟,一会儿,会议记录 vt. 记录
abstain	v. 自制, 戒绝
narrate	v. 叙述 vt. 叙述(故事),描述
bulk	n. 大部分, 大多数, 大块, 大批, 容积, 体积 vi. 变大, 增加 vt. 膨胀, 出现 adj. 大量的
industrial	adj. 工业的,产业的 n. 工业公司
compensation	n. 补偿, 赔偿; 赔偿金, 物
realistic	adj. 现实的, 现实主义的
alter	v. 改变
error	n. 错误, 过失
migrate	v. 移动,移往,随季节而移居 [计算机] 迁移
establishment	n. 确立,制定,设施,机构,权威
engross	v. 使全神贯注，独占，大量收购，正式誊写，用大字体书写 n.
wealthy	adj. 富有的 n. 富人
manufacturer	n. 制造商
analysis	n. 分析, 解析
ancestor	n. 祖宗,祖先,原种
reminisce	v. 追忆,说...的回忆
utterance	n. 说话, 发表, 说话的方式
concentration	n. 集中, 专心, 浓度
mark	n. 污迹, 标记, 分数, 烙印, 纪录 vt. 做标记于, 留意, 打分数, 留下污痕, 使...明显 vi. 做标志, 记分, 留下印记
cryptic	adj. 秘密的(使用密码的, 意义深远的)
reasonable	adj. 合理的,有道理的,适度,通情达理的 adv. 合理地
curt	adj. 简略的, 简短的, 生硬的
incorporate	vt.组成公司； 包含； 使混合； 使具体化 vi.包含； 吸收； 合并； 混合
respectable	n. 品格高尚的人 adj. 值得尊重的, 人格高尚的, 不少的
subsidise	v. 消退, 下沉, 平息 vt. 给……补助, 资助
strive	v. 努力,奋斗,力争
recommend	vt. 建议, 推荐, 劝告 vt. 使成为可取, 使受欢迎
cure	n. 治疗,治愈,治疗法 vt. &vi. 治疗,治愈,改正
insurance	n. 保险
temporary	adj. 暂时的,临时的 n. 临时工
tactic	n. 战略,策略 adj. 战术的,有策略的
decipher	vt. 译解
therapist	n. 临床医学家
refuge	n. 避难(处), 庇护(所) v. 庇护, 避难(所)
furnace	n. 炉子,熔炉,闷热地带,严峻考验
instructor	n. 教师,讲师,指导书
rigor	n. 严格，严酷, 严密，严厉，[医]寒战，僵直，强直
regret	n. 遗憾, 后悔, 抱歉 v. 为...感到遗憾, 后悔, 惋惜
integrate	v. 整合, 使...成整体
parasite	n. 寄生虫,寄生生物，食客
intervene	vi. 插入,介入,干涉,调停 [计算机] 介入
miserable	adj. 悲惨的,痛苦的,贫乏的
default	n. 假设值,默认(值),不履行责任,缺席 v. 默认,不履行义务,缺席,拖欠 [计算机] 缺省
particle	n. 微粒,质点,极小量
explore	vt. &vi. 探险,探测,探究
explosive	adj. 爆炸(性)的 n. 炸药
irritate	vt.& vi. 激怒,使...发怒, 使疼痛或发炎
cancer	n. 癌,巨蟹座
insistent	adj. 坚持的, 迫切的
wisdom	n. 智慧,学问
intimidate	vt. 威胁,恐吓,胁迫
decay	n. 衰退, 腐败 v. 衰退, 腐败
absolve	vt. 宣告...无罪, 赦免
capacity	n. 能力, 容量, 容积; 资格, 职位 adj. (达到最大容量)满的
liberate	v. 解放, 使获得自由, 释出, 放出 vt. 解放, 使获自由
disconnect	vt. 使分离 vi. 断开，拆开
request	n. 要求, 请求 vt. 请求, 要求
sociable	adj. 好交际的, 社交的
dispense	vt. 分配，分发；免除；执行 vi. 免除，豁免
defect	n. 缺点 vi. 背叛
fairly	adj. 公平地, 相当 adv. 相当地
secular	n. 牧师,凡人 adj. 世俗的,现世的,不朽的
peak	n. 山顶,顶点,帽舌 vi. 到达高点,消瘦 vt. 使到达顶峰,竖起 adj. 处于顶峰状态的
sediment	n. 沉淀物
reputation	n. 声誉,好名声
peculiar	adj. 奇怪的,古怪的,特殊的,独特的 n. 特权
facade	n. 建筑物的正面,外表(犹指虚伪的)
proposal	n. 求婚, 提议, 建议
slaughter	n. 残杀, 屠杀, 大量杀戮 v. 残杀, 屠杀
amplitude	n. 广阔, 充足, 增幅 n. 振幅、波幅(物理)
dispel	v. 驱散, 驱逐
ironically	adv. 说反话地, 讽刺地
perceive	v. 察觉, 感觉, 认知, 理解
alienate	v. 使...疏远,离间,让与
diversify	v. 使成形形色色, 使多样化, 使变化
modify	vt. 修改,调正,缓和 vi. 修改
subsequence	n. 随后, 随后发生的事, 结果
equate	v. 同等看待, 使相等 vt. 等同, 使相等
sophisticated	adj. 复杂的；精致的；久经世故的；富有经验的 v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）
desirable	adj. 值得有的,令人满意的,有吸引力的 n. 有吸引力的人
solidify	vt. 使牢固，使团结 vi. 变坚固，变结实
restore	vt. 恢复,归还,翻新
abrupt	adj. 突然的；唐突的, 陡峭的
migratory	adj. 迁移的, 流浪的
credibility	n. 可信用, 确实性, 可靠
detect	vt. 发现,探测信息,侦查 vi. 当侦探
spectrum	n. 光谱, （比喻）范围, 系列
ambivalent	adj. (对同一人或物)有矛盾看法的,或矛盾感情的, 矛盾心理的，矛盾情绪的
invader	n. 侵略者
embark	vt. &vi. 乘船,着手,从事
supplementary	adj. 补充的, 附加的
atmosphere	n. 大气, 气氛，空气, 格调, 情趣, 气压
expressive	adj. 表达的, 用作表达的, 富于表情的
affective	adj. 情感的
dense	adj. 不易看透的, 密集的, 浓厚的, 愚钝的
heal	vt. 痊愈,恢复,和解 vi. 痊愈
sustainable	adj. 可以忍受的；足可支撑的；养得起的；可持续的
